step,Test/return
10000,946.3353881835938 
20000,952.2469482421875 
30000,955.0269775390625 
40000,978.4668579101562 
50000,974.685791015625 
60000,1051.838623046875 
70000,1044.7685546875 
80000,1142.475830078125 
90000,1057.8370361328125 
100000,1082.9000244140625 
110000,1187.10791015625 
120000,1264.209228515625 
130000,1043.8370361328125 
140000,1151.2498779296875 
150000,1169.8731689453125 
160000,1152.688720703125 
170000,1085.1290283203125 
180000,1111.3187255859375 
190000,948.3441162109375 
200000,1141.1402587890625 
210000,981.9786987304688 
220000,964.6337280273438 
230000,843.5057983398438 
240000,1045.007080078125 
250000,904.4912719726562 
260000,1030.9342041015625 
270000,827.5367431640625 
280000,1062.488037109375 
290000,599.6239013671875 
300000,803.006591796875 
310000,804.0579833984375 
320000,939.7628784179688 
330000,706.10107421875 
340000,972.8348388671875 
350000,805.9241333007812 
360000,691.5996704101562 
370000,1015.666259765625 
380000,700.6401977539062 
390000,697.1229858398438 
400000,514.4664916992188 
410000,783.3360595703125 
420000,719.6841430664062 
430000,661.956298828125 
440000,755.214111328125 
450000,727.70263671875 
460000,423.0732421875 
470000,1075.8720703125 
480000,766.1763305664062 
490000,663.2117309570312 
500000,371.04376220703125 
510000,651.4269409179688 
520000,763.653076171875 
530000,978.3250732421875 
540000,867.1512451171875 
550000,1161.8433837890625 
560000,1100.2208251953125 
570000,1749.6163330078125 
580000,1699.6614990234375 
590000,1652.40771484375 
600000,1682.7139892578125 
610000,1999.764404296875 
620000,1592.872314453125 
630000,2067.933349609375 
640000,2142.63134765625 
650000,2093.46728515625 
660000,1900.3846435546875 
670000,2039.67333984375 
680000,2158.87451171875 
690000,1436.8492431640625 
700000,2291.26611328125 
710000,1320.733154296875 
720000,2173.252197265625 
730000,2273.7529296875 
740000,2182.235107421875 
750000,2114.8603515625 
760000,2200.2490234375 
770000,2434.455078125 
780000,2667.35693359375 
790000,2224.26416015625 
800000,2017.520751953125 
810000,2038.4791259765625 
820000,2025.6220703125 
830000,1358.4111328125 
840000,2247.054931640625 
850000,2506.054931640625 
860000,2775.443115234375 
870000,1970.6368408203125 
880000,2316.539306640625 
890000,1311.9674072265625 
900000,2640.200927734375 
910000,2263.62548828125 
920000,2525.266357421875 
930000,2058.51171875 
940000,2054.56787109375 
950000,2443.81005859375 
960000,2929.749267578125 
970000,2297.16064453125 
980000,2950.928955078125 
990000,2988.9384765625 
1000000,2903.012451171875 
1010000,2790.720947265625 
1020000,3223.403076171875 
1030000,3221.673095703125 
1040000,2821.363525390625 
1050000,2360.80908203125 
1060000,3086.224609375 
1070000,3192.6259765625 
1080000,3013.23779296875 
1090000,2051.35205078125 
1100000,3057.717041015625 
1110000,3032.960205078125 
1120000,2519.259521484375 
1130000,3257.2412109375 
1140000,3260.065673828125 
1150000,2530.7314453125 
1160000,1963.87890625 
1170000,3105.8251953125 
1180000,2691.9775390625 
1190000,2797.283447265625 
1200000,3074.57421875 
1210000,3349.108642578125 
1220000,2409.55859375 
1230000,3145.234130859375 
1240000,1309.554931640625 
1250000,2617.872802734375 
1260000,3022.440185546875 
1270000,1811.9071044921875 
1280000,1828.8153076171875 
1290000,1732.8966064453125 
1300000,2013.0250244140625 
1310000,1666.3082275390625 
1320000,2389.092529296875 
1330000,3124.811767578125 
1340000,3322.311279296875 
1350000,3386.554931640625 
1360000,2944.238525390625 
1370000,3504.18896484375 
1380000,3346.884521484375 
1390000,3354.097900390625 
1400000,3532.089599609375 
1410000,3370.55029296875 
1420000,3343.40234375 
1430000,3530.3515625 
1440000,3585.66015625 
1450000,3161.309814453125 
1460000,3544.099853515625 
1470000,3605.218505859375 
1480000,3381.432861328125 
1490000,3577.92333984375 
1500000,3433.499755859375 
1510000,3287.3623046875 
1520000,3546.727783203125 
1530000,3583.48681640625 
1540000,3653.191650390625 
1550000,3643.33349609375 
1560000,3608.898681640625 
1570000,3507.968505859375 
1580000,3517.86767578125 
1590000,3566.5361328125 
1600000,3652.879150390625 
1610000,3406.3798828125 
1620000,3707.594970703125 
1630000,3687.235595703125 
1640000,3608.848876953125 
1650000,3604.99755859375 
1660000,3606.356201171875 
1670000,3664.1298828125 
1680000,2482.42724609375 
1690000,3595.1806640625 
1700000,3279.946044921875 
1710000,3603.244873046875 
1720000,3323.552978515625 
1730000,3559.763427734375 
1740000,3468.258056640625 
1750000,3561.7763671875 
1760000,3218.31298828125 
1770000,3710.22509765625 
1780000,3648.188720703125 
1790000,3343.4521484375 
1800000,3279.751220703125 
1810000,3698.6220703125 
1820000,3658.166259765625 
1830000,3660.337158203125 
1840000,3356.412841796875 
1850000,3702.09130859375 
1860000,3662.09033203125 
1870000,3761.654052734375 
1880000,3602.996337890625 
1890000,3721.5185546875 
1900000,2975.845458984375 
1910000,3693.566650390625 
1920000,3559.611083984375 
1930000,3735.37109375 
1940000,3432.18603515625 
1950000,3703.18310546875 
1960000,3563.03857421875 
1970000,3667.089599609375 
1980000,3720.24609375 
1990000,3423.86962890625 
2000000,3773.100830078125 
2010000,3698.6083984375 
2020000,3472.1708984375 
2030000,3404.209228515625 
2040000,3738.62646484375 
2050000,3715.365478515625 
2060000,3769.4375 
2070000,3787.234130859375 
2080000,3698.49658203125 
2090000,3674.15771484375 
2100000,3777.9326171875 
2110000,3750.31640625 
2120000,3663.34130859375 
2130000,3681.287109375 
2140000,3594.19482421875 
2150000,3751.547607421875 
2160000,3689.78857421875 
2170000,3692.048095703125 
2180000,3687.572509765625 
2190000,3694.362548828125 
2200000,3748.8193359375 
2210000,3655.049560546875 
2220000,3786.530029296875 
2230000,3718.057861328125 
2240000,3609.19189453125 
2250000,3728.656982421875 
2260000,3828.97216796875 
2270000,3738.72265625 
2280000,3841.38037109375 
2290000,3759.898193359375 
2300000,3797.2119140625 
2310000,3796.696044921875 
2320000,3798.00927734375 
2330000,3821.81103515625 
2340000,3775.421142578125 
2350000,3509.543701171875 
2360000,3707.565673828125 
2370000,3785.22021484375 
2380000,3775.61328125 
2390000,3791.34814453125 
2400000,3847.572509765625 
2410000,3717.672607421875 
2420000,3494.4345703125 
2430000,3736.300048828125 
2440000,3758.041748046875 
2450000,3172.482421875 
2460000,3352.744873046875 
2470000,3674.091552734375 
2480000,3804.589599609375 
2490000,3484.296142578125 
